15-Jan-2019 02:54 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (23181,'2019-01-13','2','00:00:00',11714,9617,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',38769,49686) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 9617
15-Jan-2019 02:54 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (23182,'2019-01-13','2','00:00:00',11714,9617,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',38770,49687) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 9617
15-Jan-2019 02:54 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (23181,'2019-01-14','2','00:00:00',11714,9617,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',38769,49686) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 9617
15-Jan-2019 02:54 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (23182,'2019-01-14','2','00:00:00',11714,9617,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',38770,49687) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 9617
15-Jan-2019 01:38 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (15309,'2019-01-14','2','00:00:00',7033,5722,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',22420,29228) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 5722
15-Jan-2019 01:38 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (15310,'2019-01-14','2','00:00:00',7033,5722,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',22420,29228) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 5722
15-Jan-2019 01:38 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (15362,'2019-01-14','2','00:00:00',7032,5722,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',22420,29229) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 5722
15-Jan-2019 01:38 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (15397,'2019-01-14','2','00:00:00',7026,5722,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',22417,29227) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 5722
15-Jan-2019 04:13 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (10582,'2019-01-14','2','00:00:00',4063,2949,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',10844,14791) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 2949
15-Jan-2019 04:13 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (11336,'2019-01-14','2','00:00:00',4063,2949,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',12190,14791) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 2949
15-Jan-2019 04:13 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (11337,'2019-01-14','2','00:00:00',4063,2949,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',12195,14791) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 2949
15-Jan-2019 04:13 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (11338,'2019-01-14','2','00:00:00',4063,2949,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',10844,14791) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 2949
15-Jan-2019 04:13 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (11339,'2019-01-14','2','00:00:00',4063,2949,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',10844,16508) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 2949
15-Jan-2019 04:13 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (11340,'2019-01-14','2','00:00:00',4063,2949,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',10843,14791) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 2949
15-Jan-2019 04:13 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12165,'2019-01-14','2','00:00:00',4063,2949,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',12190,16510) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 2949
15-Jan-2019 04:13 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12172,'2019-01-14','2','00:00:00',4063,2949,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',10844,16508) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 2949
15-Jan-2019 04:13 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12173,'2019-01-14','2','00:00:00',4063,2949,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',10844,16509) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 2949
15-Jan-2019 01:25 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (15450,'2019-01-14','2','00:00:00',7131,5813,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',22804,29684) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 5813
15-Jan-2019 00:00 : INSERT INTO AttendanceMaster(EmployeeId, AttendanceDate, AttendanceStatus, TimeIn,ShiftId, OrganizationId, CreatedDate, CreatedById, LastModifiedDate, LastModifiedById, OwnerId, Overtime, EntryImage, checkInLoc, device,TimeinIp,Dept_id,Desg_id) VALUES (12208,'2019-01-14','2','00:00:00',4757,3824,'2019-01-15',0,'2019-01-15',0,0,'00:00:00','','','Absentee Cron','0',14546,19416) | Device: Cron UpdateAttendanceForAbsentee | ORGANIZATION: 3824
